date,demand_kwh_total,demand_imputed_kwh,target_kwh,is_missing_original,is_imputed_day,year,month,weekofyear,dow,is_weekend,is_business_day,holiday_name,is_holiday,is_pre_holiday,is_post_holiday,is_long_weekend,t_mean_c,t_max_c,t_min_c,rh_mean_pct,precip_mm,sun_hours,sst_c,year_check,month_check,dow_check
2022-01-01,474.010095,474.010095,474.010095,0,0,2022,1,52,5,1,0,New Year's Day,1,0,0,0,22.8,26.9,18.6,92.0,0.0,3.5,24.6,2022,1,5
2022-01-02,503.697704,503.697704,503.697704,0,0,2022,1,52,6,1,0,,0,0,1,0,22.5,26.3,18.6,92.0,0.0,0.0,24.5,2022,1,6
2022-01-03,559.936688,559.936688,559.936688,0,0,2022,1,1,0,0,1,,0,0,0,0,23.5,23.1,18.1,91.0,0.0,3.2,24.6,2022,1,0
2022-01-04,531.6298109999999,531.6298109999999,531.6298109999999,0,0,2022,1,1,1,0,1,,0,0,0,0,22.5,27.1,22.2,91.0,0.1,1.6,23.3,2022,1,1
2022-01-05,569.800797,569.800797,569.800797,0,0,2022,1,1,2,0,1,,0,0,0,0,23.7,26.9,20.0,90.0,0.0,3.7,24.8,2022,1,2
2022-01-06,549.531777,549.531777,549.531777,0,0,2022,1,1,3,0,1,,0,0,0,0,23.6,27.2,20.5,93.0,0.0,3.8,24.8,2022,1,3
2022-01-07,586.9360359999998,586.9360359999998,586.9360359999998,0,0,2022,1,1,4,0,1,,0,0,0,0,23.5,28.0,19.7,93.0,0.0,0.1,24.9,2022,1,4
2022-01-08,531.671156,531.671156,531.671156,0,0,2022,1,1,5,1,0,,0,0,0,0,23.4,28.0,19.2,91.0,0.0,1.5,24.2,2022,1,5
2022-01-09,459.997505,459.997505,459.997505,0,0,2022,1,1,6,1,0,,0,0,0,0,23.1,28.3,18.6,91.0,0.0,2.5,24.3,2022,1,6
2022-01-10,573.234737,573.234737,573.234737,0,0,2022,1,2,0,0,1,,0,0,0,0,23.4,27.4,18.9,92.0,0.2,7.300000000000001,24.1,2022,1,0
2022-01-11,610.6610870000001,610.6610870000001,610.6610870000001,0,0,2022,1,2,1,0,1,,0,0,0,0,23.7,27.2,17.3,91.0,0.0,1.3,24.3,2022,1,1
2022-01-12,549.2414050000001,549.2414050000001,549.2414050000001,0,0,2022,1,2,2,0,1,,0,0,0,0,23.5,26.5,19.2,89.0,0.0,4.6000000000000005,24.0,2022,1,2
2022-01-13,574.9781899999999,574.9781899999999,574.9781899999999,0,0,2022,1,2,3,0,1,,0,0,0,0,22.8,27.1,16.8,91.0,0.0,8.0,23.7,2022,1,3
2022-01-14,722.417989,722.417989,722.417989,0,0,2022,1,2,4,0,1,,0,0,0,0,23.4,27.6,16.3,91.0,0.0,6.0,23.5,2022,1,4
2022-01-15,477.432157,477.432157,477.432157,0,0,2022,1,2,5,1,0,,0,0,0,0,24.5,27.3,20.2,92.0,0.0,1.4,23.6,2022,1,5
