date,demand_kwh_total,year,month,dow,is_weekend,t_mean_c,t_min_c,t_max_c,sst_c,rh_mean_pct,precip_mm,sun_hours,holiday_name,is_holiday,is_pre_holiday,is_post_holiday,is_long_weekend,is_business_day
2022-01-01,474.010095,2022,1,5,1,22.8,18.6,26.9,24.6,92.0,0.0,3.5,New Year's Day,1,0,0,0,0
2022-01-02,503.697704,2022,1,6,1,22.5,18.6,26.3,24.5,92.0,0.0,0.0,,0,0,1,0,0
2022-01-03,559.936688,2022,1,0,0,23.5,18.1,23.1,24.6,91.0,0.0,3.2,,0,0,0,0,1
2022-01-04,531.6298109999999,2022,1,1,0,22.5,22.2,27.1,23.3,91.0,0.1,1.6,,0,0,0,0,1
2022-01-05,569.800797,2022,1,2,0,23.7,20.0,26.9,24.8,90.0,0.0,3.7,,0,0,0,0,1
2022-01-06,549.531777,2022,1,3,0,23.6,20.5,27.2,24.8,93.0,0.0,3.8,,0,0,0,0,1
2022-01-07,586.9360359999998,2022,1,4,0,23.5,19.7,28.0,24.9,93.0,0.0,0.1,,0,0,0,0,1
2022-01-08,531.671156,2022,1,5,1,23.4,19.2,28.0,24.2,91.0,0.0,1.5,,0,0,0,0,0
2022-01-09,459.997505,2022,1,6,1,23.1,18.6,28.3,24.3,91.0,0.0,2.5,,0,0,0,0,0
2022-01-10,573.234737,2022,1,0,0,23.4,18.9,27.4,24.1,92.0,0.2,7.300000000000001,,0,0,0,0,1
2022-01-11,610.6610870000001,2022,1,1,0,23.7,17.3,27.2,24.3,91.0,0.0,1.3,,0,0,0,0,1
2022-01-12,549.2414050000001,2022,1,2,0,23.5,19.2,26.5,24.0,89.0,0.0,4.6000000000000005,,0,0,0,0,1
2022-01-13,574.9781899999999,2022,1,3,0,22.8,16.8,27.1,23.7,91.0,0.0,8.0,,0,0,0,0,1
2022-01-14,722.417989,2022,1,4,0,23.4,16.3,27.6,23.5,91.0,0.0,6.0,,0,0,0,0,1
2022-01-15,477.432157,2022,1,5,1,24.5,20.2,27.3,23.6,92.0,0.0,1.4,,0,0,0,0,0
2022-01-16,498.138214,2022,1,6,1,24.3,20.0,27.9,23.9,90.0,0.0,7.800000000000001,,0,0,0,0,0
